CaseNumber,DateOfRequestReceived,Division-Branch,ApplicantCategory,Outcomes,ExemptionsApplied,DateOfResponseSent,DaysTakenToComplete,RequestWording
1996,2017-02-07,Field Operations,Member of the Public,All provided,n/a,2017-03-03,18,"I should be grateful if you would provide the following information under the Freedom of Information Act:a) the average age at slaughter of horses killed during each of 2014, 2015, and 2016 at slaughterhouses in England and Wales b) the number of horses slaughtered between 2014 and end of 2016 at dedicated horse slaughterhouses in England and Wales whose carcases were rejected for use as meat, and correspondingly, the number of horses slaughtered during the same period whose carcases were used for meat (e.g. slaughtered for the purpose of sale as meat). c) the number of horses slaughtered between 2014 and end of 2016 at dedicated horse slaughterhouses in England and Wales whose carcases were rejected for use as meat specifically because passport information indicated that they had been treated with 'bute' i.e. phenylbutazone. d) any details that are available of the sources of horses destined for slaughter at dedicated horse slaughterhouses in England and Wales for each calendar year between 2014 and end of 2016 to include livestock markets, horse racing breeders and trainers or others (e.g. numbers from each source in each year). Such details are requested to include numbers of horses slaughtered if possible at dedicated horse slaughterhouses in England and Wales during 2016 which came from each particular recorded source."
1999,2017-02-09,FHRS,Academia,Advice and Assistance provided,n/a,,5,I am making a request through the Freedom of Information Act 2000 on the number of restaurants in Britain that have a low food hygiene rating. We are looking for the number and names of any restaurants that have one star or lower on the Food Standards Agency rating scheme across the country. We would also like to know the specific area in Britain that has the overall lowest ratings on the Food Standards Agency rating scheme. 
2000,2017-02-09,IT,Member of the Public,Part withheld,S40,2017-03-09,20,"Do you make use of any Instant Messaging clients/systems, such as group clients like Yammer, Slack, Whatsapp groups, Facebook or Twitter message groups or user-to-user Google Chat type services etc?If yes, please provide a list with details of each with its use, membership (to the extent it is disclosable, such as categories) and service as well as any 'service tier' information held and cost where applicable. This would include personal chat groups used in a way that would bring them into scope of the Freedom of Information Act. The following questions are conditional on the answer being yes:- For each of the above, are you the data controller? Is it a shared service (e.g. use of https://ukgovernmentdigital.slack.com/) or your own system?- Where one of the above is a Slack or similar 'cloud' chatroom with a unique URL, please provide this link. - Where one of the above has a specific membership criteria, please provide this. - For each of the above, how long is information retained for and in what form?- For each of the above, please provide copies of any relevant policies or procedures regarding records management, retention or FOI/EIR/DPA compliance.I am aware that some of the requested information may fall under exemptions, such as personal data contained within a policy document, and am happy for the information to be redacted where needed under the act. I would request any redactions be individually annotated or listed with the reasons for them.As I'm sure you will already be making an assessment of any exemption to be applied in a manner that is appropriately granular, I trust this will not be overly burdensome. I would request Section 16 advice and assistance is provided at the earliest opportunity should you wish refuse this request in part or in whole.This would include contacting me if there are any issues, such as any apparent errors or lack of clarity that could make the request difficult to respond to, if you are considering applying any exemptions under the act and wish to discuss or would require the request to be refined for cost purposes (bearing in mind that redaction time does not contribute to this).I would express a preference for the information to be provided in electronic format."
2002,2017-02-13,Operations,Industry,Part withheld,"s31, s38, s40",2017-04-11,40,"1, The number of animal welfare breaches / non compliance recorded by FSA veterinary inspectors based at slaughterhouses / meat processing plants in England and Wales between July 1st 2016 and the present date, with details of the breach / problems found, the severity of incident e.g. major, critical, the species concerned and action recommended/taken.  Note: to include any breaches relating to condition of livestock presented at the slaughterhouse itself, or thought - as far as veterinary officials can deduce - to have arisen during transport or on farm. "
2001,2017-02-16,IT,Member of the Public,Not held,n/a,2017-03-14,18,"I would like to submit a freedom of information request for the following document relating to the following:ICT Documents1.  ICT Strategy- I require the document that hold future plan and strategy of the organisation?s ICT department.2.  ICT Departmental Business Plan3.  ICT Technical Strategy.4.  ICT Structure5.  ICT Capital budgets and programmesCan you please provide me with the latest document to date the organisation holds and please state this within the response. If no information is provided, I will contact the organisation back to verify that this is the latest version of the document. AN example of this would be an ICT strategy 2012-2017, in some cases, this is acceptable, but on the foot of the document, it states 2012. We require the latest documents; please communicate this to the information holders.If the organisation doesn?t have a document that covers the current financial year, please provide me with information (month) on when this document will be published or updated. In the response please provide us with the previous document along with publish month of the future document.If you feel that your organisation or the department hold other documents that relate to my request or the document above please send them accordingly."
2004,2017-02-16,Estates,Member of the Public,not held,n/a,2017-03-07,13,"A. Lift Service and MaintenanceB. Air Conditioning and Ventilation Servicing and MaintenanceC. Cleaning and JanitorialD. Mechanical And Electrical MaintenanceE.  Property Maintenance And Day To Day Repairs In regards to the types of contracts I have displayed above can you please send the Organisation?s primary contracts? Or can you please send me the contract that are above ?1000.Also, so that I understand the information you have provided to me please state information if the Organisation doesn?t have any contract I have stated within this request. 1.  Contract Type ? Please use the list I have provided above2.  Existing Supplier ? Please state the supplier for each contract3.  Annual Spend- Please can you provide me with the spend for each individual supplier4.  Contract Duration- please note if there are any extensions period available and if so what?5.  Contract Start6.  Contract Expiry7.  Contract Review8.  Contract Description- a small description of the type of services included within each contract.9.  Number of sites covered for each contract e.g. the organisation may have a maintenance agreement with a supplier that covers several sites/buildings.10.  Can you also send me the contact details of the person within the Organisation that is responsible for each one of these contract you have submitted."
2003,2017-02-20,IT,What do they know,Part withheld,S43,2017-03-20,20,"I seek the following information about the organisations information technology team and infrastructure equipment:1. What is your annual IT Infrastructure Budget for 2016, 2017 & 2018?2. What storage vendor(s) and model do you currently use?3. When was the installation date of above storage vendor(s)? (Month/year) 4. When is your planned (or estimated) storage refresh date? (Month/year) 5. What is your estimated budget for the refresh?6. What is the capacity of the storage data in TB?7. The total number of IT staff employed by the organization:8. Please list and provide contact details for the IT senior management team including CIO, IT Director and Infrastructure Architects if applicable:9. Please confirm if you are utilising desktop virtualisation technologies and if so how many users do you provide services for?10. What backup software do you use?11. How much data do you backup in TB?12. Number of servers?13. What operating system(s) do you use?14. Number of virtualised servers?15. What percentage of your environment is virtualised?16. If you outsource your IT works, please provide who it is with and when the contract started and ends.17. Please also name all of the IT re-sellers that you work with and buy from, as well as the frameworks that you use for the release of any tenders etc.18. Please also approximate the time spent managing your IT systems, specifically storage, per week in the unit of man hours. Also approximate the amount of time taken carving out LUNs and/or Volumes.19. Please list any and all pain points that the IT teams, and organisation as a whole, experience with regard to the storage and usage of the virtualised workloads.20. How is your storage connected, i.e. via Fibre Channel, Ethernet (NFS or ISCSi). If your storage is currently connected via Fibre Channel, do you have access to 10 GB Ethernet, or 1 GB ethernet, and if so, please declare which."
2005,2017-02-21,Operations Assurance/Legal,Member of the Public,All provided,n/a,2017-03-21,20,"Please could you provide me with the ""enforcement action"" the FSA has taken over the last 5 years to deal with failing slaughterhouses and any other premises where the FSA is the enforcing authority. By this I mean numbers of prosecutions, wether successful or not, notices served, closures or other detailed action the FSA is describing as ""enforcement"". Please provide a breakdown over the last 5years."
2007,2017-02-23,LAEMS,Member of the Public,All provided,n/a,2017-03-22,19,"I am interested in obtaining information on restaurants and caterers in the UK in which a suspension/revocation of approval or licence, prohibition order, or emergency prohibition notice has been enforced in the last ten years. I would be grateful if I could get the following information, which the LAEMS schema provided on your website specifies as available information, for each of these enforcements:- Local Authority Name- Financial Year- Premise Name- Premise Address- Premise Postcode- Premise Type- Enforcement Type- Enforcement Reason[A member of your staff] mentioned that the premise name may not be available, and that premises are denoted by a Local Authority Business ID. Should this be the case, I would be grateful if I could obtain that ID."
2006,2017-02-24,Consumer Protection,Member of the Public,Part withheld,"s40, s43",2017-03-23,19,"Firstly, on the 7th of March 2016 Spar (UK) Ltd recalled a batch of their own brand of ?chicken tikka chunks? after the bacterium Listeria monocytogenes - which can lead to Listeriosis and meningitis ? was found in one of the packets (FSA, 2016).I would like to request copies of all electronic and paper correspondence ? which discussed this specific incident - between the following:1)  FSA and Spar (UK) Ltd2)  FSA and DEFRA3)  FSA and any local authorities Secondly, on the 18th and 19th of February it was widely publicised that Morrisons had recalled a batch of their own brand of ?ready to eat peppered beef slices? due to fears that it might also be contaminated with this same bacterium (FSA, 2017). I would like to request copies of all electronic and paper correspondence ? which discussed this specific incident - between the following:1)  FSA and Wm Morrison Supermarkets plc 2)  FSA and DEFRA3)  FSA and any local authoritiesI am aware that correspondence relating to the latter incident may be unavailable since it may be part of an investigation or result in the ?450 limit being exceeded. If either are the case, I would still like to request copies of all correspondence held for the former incident. Scanned copies of paper documents would be preferable. I have attached links to the official FSA news bulletins below. Food Standards Agency (2016) Spar (UK) Ltd recalls its Tikka chicken chunks due to the presence of listeria monocytogenes. Available at: https://www.food.gov.uk/news-updates/news/2016/14963/spar-recalls-tikka-chicken-chunks.Food Standards Agency (2017) Morrisons recalls peppered beef slices because of the presence of listeria. Available at: https://www.food.gov.uk/news-updates/news/2017/15985/morrisons-recalls-peppered-beef-slices."
2008,2017-02-28,Legal,What do they know,All provided,n/a,2017-03-28,20,1. Have you ever exercised this (unlawful) power?2. For what conceivable reasons would the Food Standards Agency want or need to access the internet history of others? It seems utterly insane to me.
2009,2017-03-02,CER,What do they know,not held,n/a,2017-03-06,2,"1. How large are the shipments of both egg and egg products (both dry and liquid products, including manufactured foods) from India, Albania, Thailand and Brazil to the UK after 2012 until 2016?2. Do you have collected data of the total market sales that has occurred in the UK egg industry after the ""Lion"" labelling rules were introduced?3. 2. How many cases of sickness/poisoning has there been related to non-UK egg products after 2012 until 2016? (after three cases of salmonella poisoning linked to pasteurised eggs)4. How much has the sale of free-range eggs declined or improved since new animal welfare regulations in 2012?"
2010,2017-03-03,Field Operations,Member of the Public,Not held,n/a,2017-03-31,20,"[FOI 1996 refers]The information supplied relates to horses slaughtered for human consumption. I should like also to request the number of horses slaughtered during the same period for non-human consumption ie pet food, if this information is available."
2011,2017-03-03,Procurement,Media,All provided,n/a,2017-03-31,20,"1. Please provide me with a breakdown of the department?s spending via government procurement cards, in annual breakdown over the years 2015/2016/2017, listing how much was spent in each year. 2. Please include in this breakdown the amount charged on each occasion over 2015/2016/2017, when it was charged, and what it was for. Please include detail like if any department trips, what the name of the hotel was, or any food ? what the brand/restaurant was, as is feasible within cost/time limits. I should add that I am conscious of the government's programme of publishing GPC spending monthly when the transactions are above ?500. However I should make clear as regards any overlap of my request with already publicly available information, that I would be interested in the information below ?500I should prefer to receive these in electronic format at this email address.It would be helpful if you were to provide any brief notes which might be necessary to understand the context of the information provided, although I recognise that you are not obliged to do this. If for any reason you feel this request is unclear, please do not hesitate to contact me at 07827 747436.If the information requested contains sections of confidential information, please blank out or remove these sections, and mark clearly that they have been removed."
2012,2017-03-06,Resilience Team,Business,All withheld,s31,2017-04-03,20,We would be grateful if you could release any information that you have on file (including any correspondence that you have available between the FSA and an individual in relation to the issuing of the Recall Notice for the Pork Dripping with Jelly that we formally produced.
2014,2017-03-06,Legal,Business,Part withheld,s44,2017-04-03,20,"1. Information on what prosecutions [an individual] has had previously in abattoir/food production 2. If so where they Halal Meat ?3. If there are any prosecutions still outstanding for [an individual]4. Locations of his abattoirs and/or food production companies5. If [an individual] is working with other persons under other company names 6. If [an individual] is working under different company name what the names are 7. Are there any prosecutions for the other companies 8. If other agencies have had prosecutions for [an individual] , for example contamination of water supplies etc 9. Has [an individual] shipped his meat abroad or is it for UK consumption"
2015,2017-03-07,HR Transactions ,Member of the Public,All provided,n/a,2017-04-04,20,"Could you please send me the following:1. Which system / supplier do you currently use for Payroll, HR Training / Learning & Development and Duty Rostering2. The number of employees supported on the above system(s)3. The contract value when the above was last purchased4. The contract renewal date for the above5. The person responsible for responsible for overseeing any potential replacement of the above6. The person with overall responsibility for the Human Resources function I would like the above information to be provided to me as a paper [an individual]"
2013,2017-03-08,Board Sec,Member of the Public,All provided,n/a,2017-03-27,2,"1, a copy of the FSA document circulated to the FSA board on the 17th November 2016 relating to the body's work on AMR / antibiotic resistance. 2, Copies of any agendas or minutes or other correspondence held by the FSA relating to teleconferences that took place in 2016 that dealt with the FSA's work on AMR / antibiotic resistance *******************CLARIFIED REQUEST**************************Please supply the documents dealt with by Question 1 of the FOI , eg the document circulated- there's no need to deal with question 2, eg the teleconferences "
2017,2017-03-08,Operations Assurance,Member of the Public,Part withheld,s40,2017-05-10,40,"The number of non-compliances - minor, major and critical - recorded by FSA auditors during full audits at the following slaughter establishments between August 2014 and the present day: Bensons Ltd (4152 approval number)CIG Calon (7198)Emcol 2008 Ltd (unknown)PJKing / Martins Meats / Gilders transport (Toddington) (unknown)R J Trevarthen (8115)Stillmans (8231)T G Sergeant (4367)along with details of the question (e.g Q 11, Q 212, Q 35 etc) where the non-compliances were found, as outlined in the FSA's published meta data for audits  https://www.food.gov.uk/sites/default/files/fbo-audit-publication-metadata.csv  And dates for the full audits where the non compliances were identified."
2018,2017-03-08,Operations,Member of the Public,Rejected on cost grounds,,2017-03-23,11,"1, The number of meetings (face to face or teleconference or other) FSA officials held with the Association of Independent Meat Suppliers (AIMS) in 2016 - 2017 to date, along with copies of any agendas, minutes, notes or other correspondence held by the FSA relating to these meetings.  2, Copies of any correspondence , whether paper or digital, between AIMS and the FSA between 2016 and 2017 to date. "
2025,2017-03-09,Dairy Hygiene Data,Academia,All provided,n/a,2017-03-28,14,"Is information available on how many samples of milk fail antibiotic residue tests in the UK per year, and the incidence?"
2019,2017-03-10,Operations,Member of the Public,Part withheld,"s31, s38, s40",2017-04-07,20,"Please supply me with information relating to visits made to ensure animal welfare in safeguarded in respect of-Enforcement by Official Veterinarians of the Food Standards Agency to ensure that animals are spared unnecessary suffering, distress or pain during the Religious slaughter process.1, the number of visits made to ensure animal welfare in safeguarded2, The number of warnings or advice given to premises 3, The number of enforcement actions 4, The number of prosecutionsDuring the last 12 months or period that you have up to date records for."
2020,2017-03-13,Resilience Team,Media,Part withheld,S41,2017-04-10,20,"For 2016 please state how many pieces of correspondence you received that could be described as ?whistleblowing' in relation to the mislabeling of food products?For each piece of communication please state (i) the nature of the mislabeling stated (please ensure you include the product and the retailer manufacturer), (ii) a general summary of the allegations contained in the correspondence and (m) what follow up action was taken by your authority, accepting some information will be withheld as being exempt from disclosure under Section.41 of the Freedom of Information Act."
2021,2017-03-14,IKM,Academia,All provided,n/a,2017-04-04,15,"Please find below my request for general information. It relates to the transfer of born-digital records to The National Archives (TNA):1. Has your organisation transferred born-digital records to The National Archives (TNA)?2. If not, when do you anticipate that you will transfer born-digital records to TNA?3. Which of the processes for born-digital records is the most resource intensive for the Food Standards Agency?(E.g Apprasial and Selection, Sensitivity Review, Transfer processOther......)4. Which of the processes for born-digital records is the least resource intensive for the Food Standards Agency ?(E.g Apprasial and Selection, Sensitivity Review, Transfer processOther......)5. Is the sensitivity review of born-digital records in your organisation technology-assisted?6. Which FOIA exmeptions, if any, most apply/will apply to your department's born-digital records at transfer stage?(No need to state individual exemptions, categories will suffice such as Personal, National, Principle)7. What date does/will your organisation use for the trigger date for the transfer of digital records? (e.g date record last modified).8. Does your organisation use outsourced IT?"
2022,2017-03-14,Legal,Business,Rejected on cost grounds,s12,2017-04-10,19,"I would like to receive details of any planning work that has been carried out to understand the possible impact of Brexit on IT systems operated by or behalf of the Food Standards Agency, including any relevant arms-length bodies. Planning work could include internal investigations, seeking advice from other government bodies, external consultancy, systems testing or development. By 'impact' I mean modifications to existing IT systems, and/or development of new systems, required to enact any changes to government policy that might result from Britain?s departure from the EU. Please could you let me have:1. Details of any such planning work carried out to date, and which IT system(s) it relates to 2. Any advice the organisation has received, as a result of this planning work, about actions it may need to take to ensure its IT systems are ready for Brexit, including estimated costs if available3. An indication of whether the organisation has already undertaken these actions, is planning to undertake them, or is considering them pending further information."
2023,2017-03-15,FHRS,Member of the Public,All provided,n/a,2017-04-11,19,"My question is ""what number of food hygiene ratings that local authorities undertake and report to the FSA are older than 2 years since they were rated.""If possible I should like to know this information by rating ie how many businesses ratings <1 are over 2years old how many <2 are older than 2years etc up to the maximum rating of 5 "
2024,2017-03-15,RDD - Operational Policy and Delivery Team,Business,All provided,n/a,2017-03-24,7,"1. How many food authenticity, speciation and adulteration DNA tests did the FSA request/commission in the last 12 months?2. Which laboratories undertake these DNA tests for the FSA?3. What is the annual cost to the FSA of these DNA tests in 2015 and in 2016?"
2026,2017-03-16,Legal,Academia,All provided,n/a,2017-04-11,19,"I am currently studying IT Law at the University of Teesside and one of my modules is to create a presentation on the Investigatory Powers Act 2016. As the Food Standards Agency are one of the 48 listed organisations that have access to data collected under this act, it prompted questions that I hope you may be able to answer.1. Why do the FSA require access to this data?2. Can you give me an example of how this data may be used?3. Does the FSA use this data in conjunction with other agencies?4. Is access to this data limited to certain staff or to the agency as a whole?"
2016,2017-03-23,HR,Media,All provided,n/a,2017-04-05,9,"Please disclose the number of staff found to have falsified their CVs/job applications in the calendar years 2015 and 2016; In each case, please disclose the individual's job grade and what action was taken. Separately, please provide a table showing all job grades and salary bands - with a key to any grade terminology "
2028,2017-03-27,Science & Policy,Member of the Public,Not held,n/a,2017-04-03,5,"My enquiry relates to Trichinosis (sometimes termed Trichinellosis) infection in humans, caused by pork-meat infected with Trichinella spp. I should be grateful for the following information: 1) In which year was the last incident of autochthonous Trichinella spp. infection recorded in swine farmed commercially in England, Scotland and Wales? 2) In which year was the last incident of Trichinosis recorded, caused explicitly by the consumption of pig-meat from swine farmed commercially in England, Scotland and Wales? 3) In which year was the last incident of Trichinosis recorded, caused explicitly by the consumption of imported, infected pig-meat? Please note that, for questions (1) and (2) above, I do not require data per home country, just an overall total and, for question (3), I do not require information on the country of origin. "
2027,2017-03-28,Legal,What do they know,All provided,n/a,2017-04-27,20,"What I would like to know is- How many people work for your organisation.- How many of these people will authorised by warrant to conduct interception, equipment interference (hacking to obtain information) or bulk communications data acquisition under the Investigatory Powers Act 2016- How many warrants have been applied for under the Investigatory Powers Act 2016?- How many warrants were granted?- How many investigations has your organisation carried out so far under the Investigatory Powers Act 2016 and what were they for?"
2029,2017-04-05,Regulatory,Member of the Public,Rejected on cost grounds,s12,2017-05-05,19,If the food standards agency has conducted an internal assessment on its capacity to function at present levels as a result of an increased workload following the vote to leave the European Union and if any such assessment can be published. 
2030,2017-04-06,Ops,,All provided,n/a,2017-05-08,19,"The annual number of dairy?farm hygiene inspections carried out by the FSA in England (& Wales if appropriate) in 2013,?2014, 2015, 2016, 2017 so far?2, The number of inspections - broken down annually, for?this period - that gave the farm concerned?a ""weak"" compliance scoring3, ?The number of inspections - broken down annually, for?this period - that gave the farm?concerned ""poor"" compliance scoring ??4, Details of the non-compliances that resulted in these scores being given?Note: If the request exceeds the time permitting for FOI requests, please supply what years' you can complete in the time, beginning with most recent.?"
2031,2017-04-07,Radiological and Novel Food Policy,Legal,Rejected on cost grounds,n/a,2017-05-10,20,"1. Has the Food Standards Agency (FSA) ever assessed nicotine-containing products against the food ornovel food legislation?2. If the answer to question 1. Is ""yes"", was the assessment in relation to nicotine being a food or as anovel food?3. If nicotine has been assessed by the FSA, what was the outcome of the assessment of nicotine?containing products as a food or novel food?4. Please provide all recorded information relating to the FSA's assessments of nicotine-containingproducts.5. Has the Food Standards Agency ever interacted with the MHRA about nicotine-containing products?6. What was the purpose and outcome of the FSA's interaction with the MHRA about nicotine-containingproducts?7. Has any agreement or decision been reached with the MHRA about the regulatory treatment of nicotine-containing products?"
2033,2017-04-10,Dairy Hygiene,Member of the Public,Not held,n/a,2017-04-13,3,"Further to your recent disclosure concerning antibiotic residues in milk samples (https://www.food.gov.uk/sites/default/files/fsaresponseredairyinspectiondata.pdf) could you supply further information please which I understand is held by the FSA : QUESTION: For each of the ""failed milk samples"" found in in 2016, 2015, 2014 (see your chart in above link), could you provide details of the ""antibiotic failures"" involved e.g. the antibiotic substance found in each ""failed"" sample; and, antibiotic substances found to be above the permitted level, any other reason / finding etc etc If such sample by sample results are not held in easily accessible form (I understand they are), could you provide a detailed summary of the different antibiotic substances detected, and antibiotic substances detected above permitted levels, during each of these years? "
2034,2017-04-10,Legal,Member of the Public,Part withheld,"s40, s44",2017-05-11,20,"1, Could you supply a list of abattoirs, both red meat & poultry, successfully prosecuted by the FSA in England and Wales in the following years - 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017 to date 2, Details of the reasons for prosecution - eg offences under the xx legislation, xx act, xx law broken etc 3, If available, details of the penalties e.g. fine, imprisonment, other  "
2036,2017-04-18,LAEMS,Media,Withdrawn,n/a,,,"In light of a published analysis by Which? on March 25 of the 2015/16 Local Authority Enforcement Monitoring System hygiene database collected by the FSA, in which you ranked 386 local authority areas in the UK, I would a)like to request a copy of that database and b) I would like a breakdown, if not already included within that, of different type of food premises, such as pub, farm shop, delicatessen, supermarket, convenience store, food producer etc across the dataset and, per local authority."
2035,2017-04-26,Operations ,Member of the Public,All provided,n/a,2017-05-25,20,"1, For each month between January 2014 to March 2017*, the number of abattoirs/establishments in England, Wales (and NI if data held) where carcass contamination levels** were found to be in the following bands / brackets (bands / brackets lifted from page 10 of attached FSA performance report) Pigs < 3% < 6% 6% +  Cattle < 6% < 10% 10% + Sheep/goats < 6% <10% 10% + * Or beginning from the nearest date to January 2014 if the information is not available from then** I mean by this ""carcass contamination identified at final FBO inspection point""I note the data is partially published in quarterly periods in the FSA performance updates, but I seek it in a monthly breakdown (spreadsheet if possible) form please ."
2037,2017-04-27,IT,Other,Part withheld,s40,2017-05-24,18,"1 How many FSA issued mobile phone bills have been greater than ?15 in any one month over the last two years?2 How many employees have paid personal voice and data usage, greater than ?15 per month in the last two years?3 Has any employee of the FSA been subject to any sanctions or been disciplined for not recording personal voice and data usage on thee-billing system?"
2038,2017-05-02,Operations,Another Public Authority,Not held,n/a,2017-05-12,8,"I am doing research into non-stun animal slaughter within the UK. Could you tell me approx. how many animals are killed in this way each year, how many go into schools and how many go into retail shops, also, how much of this is Halal and how much is Kosher?"
2041,2017-05-04,Resilience Team,Member of the Public,Part withheld,s40,2017-08-25,80,"Unfortunately I consumed the above soup which tasted of chemicals and upon returning it to store I learned it was subject to a product recall.I have tried without success to find out from M & S exactly what I consumed but have only been told it was diluted cleaning solution. They are, for whatever reason, unable to tell me the exact contaminant.Please could I therefore request, under an FOI,:1)What exactly was the chemical composition of the cleaning solution.2) What exactly was the concentration ingested.Thank you for your time in this regard. It is, in my view, extremely regrettable that I have been unable to get this information from the retailer themselves."
2032,2017-05-05,Procurement,Academia,All provided,n/a,2017-06-02,19,"1.   Does your organisation use any bespoke software systems? If yes, please kindly complete questions a ?g. If no, please proceed to question 2. a.   What is the core purpose of these system/s?b.   Do these system/s integrate with your organisations financial management systems?c.   Do these system/s enable e-payments, online payments or BACS transactions?d.   Which company/companies are you contracted to for each bespoke software system?e.   What is the total value of each of these contracts over their respective terms?f.   When does the current contract term for these system/s expire?g.   Who are the technical and procurement leads for these system/s and their contact details? 2.   Is your organisation in the process of exploring the scope or planning the procurement of a bespoke software system or an off-the-shelf commercially branded software system which you envisage will require bespoke development to fit your organisation?s needs? If yes, please kindly complete the following questions: a.   Will this system/s integrate with your organisations financial management system/s?b.   Will this system/s enable e-payments, online payments or BACS transactions?c.   Will this system/s automate processes or data currently managed by spreadsheets?d.   Will this system/s automate paper based processes?e.   Will this system/s capture large volumes of data from outside your organisation?f.   When is the prospective go-live date for such system/s?g.   What is the estimated budget for such system/s over the intended contractual period (rough order of magnitude)?h.   Who will be the technical and procurement lead for these project/s?"
