CaseNumber,DateOfRequestReceived,Division-Branch,ApplicantCategory,Outcomes,ExemptionsApplied,DateOfResponseSent,DaysTakenToComplete,RequestWording
2172,2018-01-22,Regulatory Delivery Assurance Team ,Media,Part withheld,s31,2018-03-05,40,"In 2017 how many tests were conducted on food products for fish species identification? How many of these came back with unsatisfactory results? Please give details of these unsatisfactory results including product/brand/manufacturer of the product, the species it was supposed to be and the quantity and species of the detected fish or other foodstuffs."
2173,2018-01-17,RoF,Business,all withheld,S31,2018-02-14,20,"In November 2016 there was a serious incident.  Some packs of chicken delivered by [a food products supplier] (manufactured by [a food producer] into schools in Wales were found to be ?off? when the cooks came to use them on 9th November 2016.A number of products were subsequently analysed, and 4 of the results had listeria counts above 100, whilst all the packs showed Entero levels above 10000 (The HPA guideline).At the time a thorough investigation was carried out by FSA regarding our processes, procedures etc.  Eventually in January, the decision was made by the FSA to close the investigation, as they could not categorically work out what had gone wrong.  We demonstrated GMP, and due diligence during the brief few hours the product was on our site.   We have a respective working relationship with the FSA, and have always sought to be co-operative and responsive to requests, and hope this will always be the case.However,  Caerphilly County Borough Council have decided to prosecute [ a food producer] independently, and this was notified to us in November 2017.     We intend to defend ourselves rigorously, as we believe our case is extremely robust.The reason I am contacting you is to request that you send me a copy of the FSA report that [ FSA staff member] compiled, so that this may be reviewed by my legal team and expert witness.  Also, would you know if a copy of this report has been sent to the Caerphilly County Borough Council?   Also, are there any other reports that were completed during this time, that we would benefit from reviewing."
2174,2018-01-24,Procurement Team ,Business,All provided,N/A,2018-02-21,20,"Please can I request some information regarding your energy supply contracts under the Freedom of Information Act 2000.  Please would you provide me with the following information:1. Who, in your organisation, is responsible for deciding how your energy is bought?  Please provide the full name, title, email address and telephone number. 2. For each of these commodities ? electricity, gas and water ? please can you answer the following questions: What is your current contract term ? start date (DD/MM/YYYY) to end date (DD/MM/YYYY)?Do you have any options to extend?  If so, what are they?What is your termination notice period?Who is your supplier?How many meters do you have?What is your annual spend?What is your consumption?Do you currently procure your energy through a framework/PBO (Public Buying Organisation)? If so, which one?Do you use a consultancy to facilitate your energy procurement?  If so, who?Are you happy with your supplier?Are you happy with your PBO?Are you happy with your consultancy?What do you think makes a good Supplier?What do you think makes a good PBO?Please can you provide the information, by return email, in electronic format ? Word or Excel.  If there is another format that is easier or better for you, please do let me know and we can see what works best for us both."
2175,2018-01-25,Comms,Member of Public,All provided,N/A,2018-02-21,19,"1.     Does your organisation have a Facebook Page(s)? If yes, what is/are the url(s) and when were they set up?2.     Does your organisation advertise or spend any money on Facebook? If yes, please can you outline what expenditure has occurred and break down expenditure per calendar year (January to December) since 2004?3.     Does your organisation have a Twitter Account? If yes, what is/are the url(s) and when were they set up?4.     Does your organisation advertise or spend any money on Twitter? If yes, please can you outline what expenditure has occurred and break down expenditure per calendar year (January to December) since 2006?5.     Does your organisation use Google G-Suite services (Google services) or does your organisation rely on google for any services (such as email hosting)? If yes, what are the services, when were they agreed and how much did they cost?6.     Does your organisation advertise or spend any money on Google? If yes, please can you outline what expenditure has occurred and break down expenditure per calendar year (January to December) since the payments first began?I'm afraid I absentmindedly left off a final question from my FOI - might you still be able to consider it or to include it in my previous FOI? It is as follows:""Is there an official policy for the use of organisational Facebook or Twitter Accounts (ie how to post, what to use it for and when to delete or preserve records)? If there is a policy (or policies) please may I be provided with them?"""
2176,2018-01-26,Incidents and Resilience ,Member of Public,All withheld,S30,2018-02-19,16,Please send me details covering the recent inspection of Russell Hume and the breaches of food hygiene legislation which has led to meat products not being allowed to be sent out from the company?s operation.  Please include any correspondence between the FSA and Russell Hume concerning this matter and list the relevant food safety and/or food hygiene issues found.
2177,2018-02-02,Ops Assurance,Member of Public,Part withheld,s38,2018-03-01,19,"Dear Food Standards Agency,Please can you provide a list of all business names & addresses that perform any or all of the following activities within the Sandwell Metropolitan Borough:1. Approved religious slaughter. 2. Cutting or processing of any meat that has been slaughtered by religious means.A: In light of recent matters that have arisen with a food processing plant, please can you advise what inspections of the businesses that conduct 1 and 2 above have taken place?B: When were inspections last conducted of the businesses that conduct 1 and 2 above ?C: What steps are being taken by uyourselves and /or Sandwell Council to ensure the safety of food entering the food chain from businesses conducting 1 and 2 above?"
2178,2018-02-06,Ops Assurance,Member of Public,All provided,N/A,2018-03-08,20,"I am requesting information around the FSA?s inspections of meat establishments and meat processing plants. I would like the figures for the questions below to be calculated annually since 2009.1)    How many inspections of slaughterhouses, cutting plants and game handling establishments have the FSA undertaken each year over this time period?2)    What was the average length of inspection for slaughterhouses, cutting plants and game handling establishments (annually, since 2009)?3)    What was the average frequency of inspection for slaughterhouses, cutting plants and game handling establishments (annually, since 2009)? 4)    What is the policy for how long inspections at these establishments should take, and how frequently they should be conducted? 5)    Under what circumstances should these establishments be inspected ? is this routine or risk-based?I would prefer to receive this information electronically. If one part of this request can be answered sooner than others, please send that information first followed by any subsequent data. If FOI requests of a similar nature have already been asked could you please include your responses to those requests. If you need any clarification then please don?t hesitate to contact me ? either by email or on the phone . Under section 16 of the Freedom of Information Act (2000) a public body has to provide advice and assistance to help the requester make their request manageable within the cost limit.Clarified terms: I am referring to the additional inspections you mention: periodic scheduled audits, un-annunced inspections and approval assessments.It would be helpful you could break down my questions under this categorisation - so when I say how many inspections, you could split it into the above categories."
2179,2018-02-06,Field Ops,Member of Public,All provided,N/A,2018-03-06,20,Please can I be sent the following information regarding the FSA?s employment figures? Please can the information for each question be broken down annually for each year dating back to 2009 to the latest available data?   1. How many Official Veterinarians were employed by the FSA in each year back to 2009?2. How many inspectors were employed by the FSA in each year back to 2009?3. What nationalities were the Official Veterinarians employed by the FSA (% breakdown)?Please let me know if any difficulties arise with this request. Under section 16 of the Freedom of Information Act (2000) a public body has a duty to provide advice and assistance to help the requester make their request manageable within the cost limit. 
2180,2018-02-06,Procurement Team ,Business,All provided,N/A,2018-02-09,3,Under the freedom of information act I would like to request some information regarding  a hosting contract. The contract title is FSA499 which relates to the hosting and managed service of the food.gov.uk website. The contract was awarded to Sirius Corporation Ltd. Can you confirm whether the contract was transferred to Sirius Open Source Ltd or if the contract is still listed with Sirius Corporation Ltd?Can you also confirm whether you have any other contracts with Sirius Open Source Ltd?
2181,2018-02-08,Field Ops,Industry,Part withheld,s43,2018-03-08,20,"1. The number of UK Sheep (males and females) final moves to each abattoir CPH orslaughterhouse number in England for November 2016.2. The number of UK Sheep (males and females) final moves to each abattoir CPH orslaughterhouse number in England for February 2017.3. The number of UK Sheep (males and females) final moves to each abattoir CPH orslaughterhouse number in England for July 2017.I am happy to receive this information in electronic format, within Microsoft excel."
2182,2018-02-07,Comms,Business,All provided,N/A,2018-02-26,13,"We are conducting some research on wider public sector external print spending and would like to find out the following:1. What is your total expenditure per annum on external print purchasing and related activity?2. Details of the supplier/s used and spend with each.3. Details of any current in house print function and value of print produced ?in house? vs. outsourced.4. How much of your total external print outsourced spend is procured through Crown Commercial Framework Agreements such as RM 3785 Managed Print and Digital Solutions, RM921 Print Vendor Partner, RM1687 Wider Public Sector Framework, RM 1063 Postal Goods and Services Framework Agreement, if so please provide values.5. How likely are you to utilise the new RM 3785 Managed Print and Digital Solutions - LOT 2 ? Tailored Managed Print Solutions for your future requirements, if not are there any reasons why?6. Details of when the contract/s were last tendered and when they are due for renewal.7. Who within the organisation has overall responsibility for Print and Digital Solutions?We do not require details on internal print production, for example on multi-functional devices."
2183,2018-02-07,IT,Business,All provided,N/A,2018-03-07,20,"I would like to request information under the Freedom of Information Act. The information that I require relates to a specific telephone maintenance contract. The contract information sent by the organisation previously has now expired please can you provide me with a new update of the telephone maintenance contract:Please can you send me the following contract information with regards to the organisation?s telephone system maintenance contract (VOIP or PBX, other) for hardware and Software maintenance and support: 1.       Contract Type: Maintenance, Managed, Shared (If so please state orgs)2.       Existing Supplier: If there is more than one supplier please split each contract up individually.3.       Annual Average Spend: The annual average spend for this contract and please provide the average spend over the past 3 years for each provider                       4.       Number of Users:5.       Hardware Brand: The primary hardware brand of the organisation?s telephone system.6.       Application(s) running on PBX/VOIP systems: Applications that run on the actual PBX or VOIP system. E.g. Contact Centre, Communication Manager.7.       Telephone System Type: PBX, VOIP, Lync etc8.       Contract Duration: please include any extension periods.9.       Contract Expiry Date: Please provide me with the day/month/year.10.   Contract Review Date: Please provide me with the day/month/year.11.   Contract Description: Please provide me with a brief description of the overall service provided under this contract.12. Go to Market: How where these services procured, please provide me with either the tender notice or the framework reference number. Please specify if procured through other routes.13.   Contact Detail: Of the person from with the organisation responsible for each contract full Contact details including full name, job title, direct contact number and direct email address. If the service support area has more than one provider for telephone maintenance then can you please split each contract up individually for each provider.   If the contract is a managed service or is a contract that provides more than just telephone maintenance please can you send me all of the information specified above including the person from with the organisation responsible for that particular contract. If the maintenance for telephone systems is maintained in-house please can you provide me with: 1.       Number of Users:2.       Hardware Brand: The primary hardware brand of the organisation?s telephone system.3.       Application(s) running on PBX/VOIP systems: Applications that run on the actual PBX or VOIP system. E.g. Contact Centre, Communication Manager.4.       Contact Detail: Of the person from with the organisation responsible for telephonemaintenance full Contact details including full name, job title, direct contact number and direct email address.  Also if the contract is due to expire please provide me with the likely outcome of the expiring contract.If this is a new contract or a new supplier please can you provide me with a short list of suppliers that bid on this service/support contract?I?m happy to receive this information in an email."
2184,2018-02-08,FSA IT,What do they know,All provided,N/A,2018-03-02,18,Please can I request the following information: 1. The number of IT contractors employed between 1/01/2017 - 31/12/2017.2. The total agency spend on IT contractors between the dates listed above for South Wales. 3. An organisational chart for the IT department within South Wales 
2185,2018-02-12,Field Ops,Member of Public,Part withheld,S40,2018-03-12,20,"1) For UK i) red meat slaughterhouses and ii) poultry slaughterhouses what is:a) the number of full time on-site Official Veterinarians employed by the FSAb) the number of part time on-site Official Veterinarians employed by the FSAc) the number of full time on-site Meat Hygiene Inspectors employed by the FSAd) the number of part time on-site Meat Hygiene Inspectors employed by the FSANote: references to employed mean direct employment, contracted and subcontracted employment.references to FSA include any agencies that carry out the FSA's duties in the devolved administrations.2) Could you please provide me with any FSA internal guides, Operating Procedures or any document which explains how the FSA decides how many Official Veterinarians and Meat Hygiene Inspectors are to be stationed at any given slaughterhouse."
2186,2018-02-21,Incidents and Resilience ,Business,All withheld,"s30, s43",2018-04-20,40 - Late response,"Please, could you send me copies of any audit reports, inspection reports and correspondence with Russell Hume regarding any of their sites related to 2018, 2017 & 2016??"
2187,2018-02-21,Openness,Member of Public,All withheld,S30,2018-02-22,1,Under the Freedom of information act I request a copy of the FSA report that prompted the closure of several Russell Hume sites in January 2018
2188,2018-02-21,Contaminants,Pressure Group,All provided,N/A,2018-03-19,18,A copy of the latest assessments of the impacts of microplastics on human health  as referred to in a Parliamentary Question - Correspondence between members of the science directorate and the Department of Health relating to the preparation of this assessment.- A list of information sources consulted in the preparation of this assessment. 
2189,2018-02-26,HR,Media,All provided,N/A,2018-03-22,18,"* Please disclose the number of staff disciplined in the calendar years 2015, 2016 and 2017;* Please provide a breakdown showing the nature of the disciplinary action and the reason;* Please disclose the number of allegations of harassment made against staff in the years 2015, 2016 and 2017;* Please disclose the number of allegations of sexual harassment/misconduct made against staff  in the years 2015, 2016 and 2017;* Please disclose the number of allegations of bullying made against staff in the years 2015, 2016 and 2017."
2190,2018-02-26,Openness,What do they know,Not held,N/A,2018-03-06,6,"I would like to request the number of cases of olive oil fraud in the United Kingdom between the years 2010 and 2017 (both inclusive). For each case in which the product didn't meet the regulatory quality standard, please also provide with further information regarding:- Year in which the case was registered by the sanitary authority. - The causes for not meeting the regulatory requirements:o Labels without the European Union requirements.o Products with a label establishing a superior quality for the product than it truly iso Adulteration of the producto Deterioration of the product- If the case was related to health issues- The name of the product and the name of the supplier. - The country of origin of the product.- The number of units of the product registered in retailers in the UK. "
2191,2018-02-27,Digital Team,Business,Not held,N/A,2018-03-09,4,"Does the Food Standards Agency use mobile apps as opposed to traditional paperwork methods? If so, what company(s) provide these services?"
2192,2018-02-28,HR,Pressure Group,all provided,N/A,2018-03-22,16,"1)    Name of unions which are signatories to your main collective agreement covering pay and conditions; 2)    Number of employees covered by the agreement; 3)    Lists of grades and current pay rates. Please indicate any agreed equivalence between the grade names used within the list and the following civil service grades:         1) Administrative Assistant (AA)        2) Administrative Officer (AO)        3) Executive Officer (EO)        4) Higher Executive Officer (HEO)        5) Senior Executive Officer (SEO)        6) Grade 7        7) Grade 6 4)    Copy of latest pay settlement. Please provide the following information on how any pay increase has been applied:         1) Have there been any changes to the pay scales?        2) Are progression payments being paid?        3) Are performance-related bonuses being paid?  If so, what are the arrangements for performance-related bonuses?"
2193,2018-02-28,openness,Member of Public,Rejected on costs grounds,N/A,2018-03-07,5,data for fish and crustacean products from Bangladesh
2194,2018-03-01,IT,Member of Public,Part withheld,s31,2018-03-21,15,"I would like to request the following breakdown of the organizations hardware support contractsA list of the models of the physical servers, storage devices, tape libraries, network switches and routers under support contracts;Details of the cost and duration of said contracts, with start and end dates and service level associated with the equipment.Could you also supply the names of the suppliers of aforementioned support services?I would also request the name and full contact details asof the person/s in your organisation responsible for the maintenance support contracts."
2195,2018-03-01,Ops Assurance,Media,All provided,N/A,2018-03-29,20,"1)      Can you let me know how many meat cutting factories there are in Scotland that are subject to FSA inspections prior to April 2015?2)      Out of this total, can you tell me how many major instances of non-compliance with hygiene or food safety regulations were recorded at each food cutting factory in 2015 by the FSA?3)      Out of each instance can you provide details of what the food cutting factory was/ what date the breach was recorded/ and supply details for what each of the breach was for?4)      For each of the above questions can you supply answers for the years 2014 and 2013 as well.If my request is denied in whole or in part, I ask that you justify all deletions by reference to specific exemptions of the act.I will also expect you to release all non-exempt material.I reserve the right to appeal your decision to withhold any information or to charge excessive fees.I would prefer to receive the information electronically.If you require any clarification, I expect you to contact me under your section 16 duty to provide advice and assistance if you find any aspect of this FOI request problematic."
2196,2018-03-05,NFCU,Other,Part withheld,s40,2018-04-04,20,"Since the NFCU was formed and Morling appointed Head of the unit how many international trips has he been on ( as you know I am aware of a number of them but not all), who authorised each trip, what was the cashable business outcome identified at the outset of each trip,what was the duration of each trip, what was the objective, what was achieved on each trip, what cashable savings were achieved on each trip, what was the cost of each trip, who paid for each trip (FSA or other?), what expenses were incurred on each trip, what was the tangible business benefit achieved on each trip. Also what trips are planned for 2018 with the same criteria applied to each trip."
2197,2018-03-07,Radiological,Media,Not held,N/A,2018-03-28,15,"Please send me, under the provisions of the Freedom of Information Act 2000 and the Environmental Information Regulations 2004 (EIR), the following information:The volumes, radiological inventory (terrabequerals) and identities of noble gases and/or tritium expressed in the shortest time intervals for which records exist discharged from the following nuclear power stations: Dungeness B, Hartlepool, Heysham 1, Heysham 2, Hinkley Point B, Hunterston B, Sizewell B and Torness.Please send these data for the years 2013, 2014, 2015, 2016 and 2017 - or for five years up to the most recent date available.I understand that this data is recorded by the Environment Agency, but that it is held by various government departments, agencies and regulators including your own due to its wide ranging relevance.Please send all the data in a Microsoft excel spreadsheet."
2198,2018-03-14,FOI Team,Member of Public,All withheld,S21,2018-04-09,16,"Is it possible under Freedom of Information law to be sent information on the number of incidents that were reported as part of the EU's Rapid Alert System for Food and Feed of fish and crustaceans involving antimicrobial residues. Could you send me the information (for all EU countries not just the UK) for the past 5 years broken down per yearCould you provide the information for produce from the following countries, broken down by each country:BangladeshVietnam Thailand"
2199,2018-03-14,Field Ops,Media,Rejected on costs grounds,s12,2018-04-11,18,"1) All correspondence, photos and related evidence in the FSA investigation into the problems at 2 Sisters Food Group from the 29th September 2017 to 1st March when the FSA announced  their findings into their investigation into 2 Sisters Food Group. "
2200,2018-03-15,FOI Team,Member of Public,Not held,N/A,2018-03-20,3,How much food was wasted in Kent in 2016 and 2017? What are the procedures put in place to avoid food waste?
2201,2018-03-16,Ops Assurance,Member of Public,Advice and assistance provided,N/A,2018-03-19,3,I am looking for stats on the efficacy of captive bolt gun used in stunning livestock. Namely I would like to know the number of times the first shot fails to stun adequately and a subsequent shot is required before slaughter.
2202,2018-03-16,Incidents and Resilience ,Media,Part withheld,S41,2018-04-17,20,"For 2017 please state how many pieces of correspondence you received that could be described as ?whistleblowing' in relation to the mislabeling of food products?For each piece of communication please state (i) the nature of the mislabeling stated (please ensure you include the product and the retailer manufacturer), (ii) a general summary of the allegations contained in the correspondence and (m) what follow up action was taken by your authority, accepting some information will be withheld as being exempt from disclosure under Section.41 of the Freedom of Information Act."
2203,2018-03-16,HR,Media,Not held,N/A,2018-04-03,10,a.       The total number of confidentiality clauses agreed in severance deals or agreements for staff per year from 2015-2017 inclusive.b. The total number of severance deals or agreements agreed per year from 2015-2017 (inclusive) that included confidentiality clauses for staff who had made an allegation of sexual assault or sexual harassment against another member of staff.c.       The total amount of financial compensation paid to former employees where confidentiality clauses were included as part of severance deals or agreements from 2015-2017 inclusive.d.      The total amount of financial compensation paid to former employees where confidentiality clauses were included as part of severance deals or agreements and where that person had made an allegation of sexual assault or sexual harassment against another member of staff from 2015-2017 inclusive.Please provide individual figures for all parts of the request. Please note 'former employees' relates to those who left the organisation at the point of the severance agreement but may now be back working at the organisation. Please do not preclude these people from the response if it is known they have rejoined.
2204,2018-03-20,NFCU,Other,Not held,N/A,2018-04-11,14,"For a journalistic article please provide the following information.What skills training, training courses, accreditations, professional qualifications and continued professional development has Andy Morling received and undertaken in the 20 years prior to him taking up post in the NFCU and specifically what training and development has he received since taking up post. "
2205,2018-03-26,Procurement Team ,Business,All provided,N/A,2018-04-25,20,"To whom it may concern I am writing to make an open government request for information t under the Freedom of Information Act 2000. I Please send me details for the period 2017-18 on the following: The total value of the courier service contracts that were outsourced? 2. The name of your primary and any secondary Courier supplier The value of your primary supplier contract, its expiry date and the services they provide (e.g. same day/next-day/overnight) The value of your secondary supplier's contract, its expiry date and the and services they provide (e.g. same day/next-day/overnight) 3. The total cost of the courier services that were managed in-house? The number of staff employed in managing those contracts The number of vehicles owned or leased to meet the in-house courier requirement 4. The name and email of the person responsible for the procurement/management of these services? If this request is unclear, I would be grateful if you could contact me as I understand that under the Act, you are required to advise and assist requester. If any of this information is already in the public domain, please can you direct me to it, with page references and URLs if necessary? If the release of any of this information is prohibited on the grounds of breach of confidence, I ask that you supply me with copies of the confidentiality agreement and remind you that information should not be treated as confidential if such an agreement has not been signed. I understand that you are required to respond to my request within the 20 working days after you receive this letter. I would be grateful if you could confirm by email that you have received this request."
2206,2018-03-26,FOI Team,Pressure Group,Not held,N/A,2018-04-10,9,"I write in accordance with the Freedom of Information Act 2000 (""TheAct"") to request the disclosure of data held which concerns the use of animals in research by Food Standards Agency (""The Public Authority"").For the avoidance of doubt the term 'animal research' is defined as regulated procedures governed by the Animal (Scientific Procedures) Act1986 (""ASPA"") and  EU Directive 2010/63/EU (""The EU Directive"").The information I wish to request is as follows:1. By species: How many animals were used in research by ""The Public Authority"" from January 1st 2017 to December 31st 2017?2. Minutes, reports and correspondence of any Animal Welfare & Ethical Review Board (""AWERB""), formerly known as the Ethical Review Committee (""ERC""), or sub-committee at university level, including but not limited to departmental committees, from 2017, where these relate to experimentation or other work involving captive live animals, in addition to any guidance issued by these committees at any time if currently in use. For the avoidance of doubt the term 'committee' is used in broad definition and is inclusive of boards, groups or similarly natured structural enterprises.I must stress that I do not seek data which identifies those under the institution's employ and agree for such information to be redacted within reason."
2207,2018-03-26,RDD,Media,Rejected on costs grounds,N/A,2018-04-18,15,"Under the Freedom of Information Act 2000 I seek the following information about the budget for the national coordinated sampling programme.1. What is the FSA budget for local authorities in the national coordinated sampling programme for the last 10 years? Please provide a breakdown of the budget for each year starting at 2007/8 up to 2017/18.2. How much of this budget is directed towards meat sampling?Please provide a breakdown of the meat sampling budget for each year starting at 2007/8 up to 2017/18.3. If possible, please provide a breakdown of the meat sampling budget for each local authority in England for the last 10 years. Please provide information regarding if the meat sampling budget is spent by each local authority, and how it is spent."
2208,2018-03-27,Procurement Team ,Business,All provided,N/A,2018-04-26,20,See 2205
2209,2018-04-03,Openness Team,Member of Public,Not held,N/A,2018-04-17,10,"I am looking for documents and communication that you hold about [a food producer] and [a food retailer] in the UK, Saint Leonards Road, Windsor, United Kingdom.Please provide all documents, including but not limited to complaints, reports, memos, notes and email exchanges. This request includes but is not limited to documents and communication that you are holding with regards to any details about complaints that have been raised about [a food producer], and any ensuing communication of [a food producer] and the Foods Standard.Please send me this information in electronic form, if possible in word format. In order to come to an expedient Freedom of Information Request, please do not hesitate to contact me in case you would require any clarification of the request. If required, any advice and assistance to clarify the scope of the request would be appreciated."
2210,2018-03-26,UKFSS,Media,Rejected on costs grounds,s12,2018-04-18,15,"Under the Freedom of Information Act 2000 I request the following information:1. Since the 2013 horse meat scandal (https://en.wikipedia.org/wiki/2013_horse_meat_scandal), how many times has meat been found to have been mis-sold (as in, called one meat when in fact it was another) in the UK?2. Can you provide specific details (dates, suppliers, meat type etc) of all cases where meat has been mis-sold in the way described above?"
2211,2018-04-06,Ops Assurance,Pressure Group,All withheld,"S30, 43",2018-05-04,20,"There are a few clarities which I would be grateful if you could provide relating to the latest slaughterhouse audits released by the FSA in March. Could you provide further details about what the major non-compliances in the below entailed?Moy Park (Ashbourne)Audited on 29/09/2017Q21 - Animals spared avoidable pain and suffering during killing.Faccenda Foods Limited (Brackley)Audited on 22/03/2017Q21 - Animals spared avoidable pain and suffering during killing.Q22 - Animal welfare SOPs developed and implementedQ22 - Slaughtermen and handlers demonstrate competencyQ214 - Stunning equipment is adequately designed, constructed and maintained.Q215 - Stunning methods ensure quick and effective loss of consciousness and sensibility followed by death.Q217 - Slaughter monitoring checks."
2212,2018-04-12,Animal Welfare and Delivery Assurance Team,Member of Public,All provided,N/A,2018-05-31,36,"Please can I have a list of all meat production and storage units in the U.K. along with this all the inspections and the tests carried out and results of standards hygiene audits in the last year.08/05/2018 - Clarification Request - ""Yes, all meat production units. Including farms. I?m allergic to certain Antimicrobials in food and also want to know the carry-on or residues that are tested for by the food standards agency. I have some information but it is not in an accessible format for a member of the public. The hygiene question relates to the use of Antimicrobials use and residue in all grain, chicken, eggs, milk, beef, pork and game. The tests needed are set out in the regulations when they are first authorised from what I can see. I?m particularly interested in coccidiosis and coccidistats Narasin and Narcarzabin."" -"
