"CaseNumber","DateOfRequestReceived","Division-Branch","ApplicantCategory","Outcomes","ExemptionsApplied","DateOfResponseSent","DaysTakenToComplete","RequestWording"
"1843","2016-02-02","Operations ","Academia","All provided","n/a","2016-03-01","20","I wish to know the exact number of slaughterhouses in the UK for all meat types for 2016, and if possible when records began also (or as far back as possible). 2. I wish to know the exact number of Halal only slaughterhouses in the UK, for 2016.3. What year was the first Halal only slaughterhouse opened? 4. Can an abattoir preform both Halal and standard UK slaughter methods in the same abattoir? Does this happen?5. What, precociously, is the standard, UK, method of slaughter for animals killed without religious intervention? E.g. stunning, bolt, electrocution. 6. Do you have any, easy to access statistics already?7. Can you tell me the amount of animals slaughtered each year (or month or day, etc.) by standard UK slaughter methods, and the amount killed each year (or month or day, etc.) by Halal slaughter methods? Approximately, or exactly if possible.8. Who monitors all methods of slaughter in the UK? How often are checks carried out? Is there more information on this? 9. There seems to be confusion of if Halal meat can be stunned or not. Can Halal meat be truly Halal if the meat is stunned (but still alive) Religious groups have a huge argument over this. 10. Do you have any other information that you would think I would find relative?"
"1844","2016-02-03","Private Office","Business","Part withheld","s40","2016-02-08","3","Under The Freedom of Information Act (FOIA), please can you provide via email the full IT organisation structure chart including names and if possible direct contact details, specifically telephone numbers?"
"1845","2016-02-04","Legal","Academia","All provided","n/a","2016-02-23","13","Using your public available data, I have been able to access annual prosecution data, for each of the years 2003 to 2014/15. However, I have not been able to locate successful prosecutions/ convictions data. Can you therefore provide this for each of the following years:2003 2004/5 2005/6 2006/7 2007/8 2008/9 2009/10 2010/11 2011/12 2012/13 2013/14 2014/15 ***CLARIFICATION***For each of the following years please provide the total number of successful prosecutions 2003 2004/5 2005/6 2006/7 2007/8 2008/9 2009/10 2010/11 2011/12 2012/13 2013/14 2014/15 "
"1846","2016-02-05","Comms","Media","All provided","n/a","2016-03-02","19","? Did the Food Standards Agency pay for a NLA (Newspaper Licensing Agency) or CLA (Copyright Licensing Agency) media license in 2013-2014?? If so, how much did the Food Standards Agency pay for the licenses in 2013-2014 (please provide the figures separately)? ? Did the Food Standards Agency pay for other media licenses in 2013-2014? Please list any other media licenses the council subscribed to and how much was paid for them in 2013-2014."
"1847","2016-02-09","Human Resources","Member of the Public","All provided","n/a","2016-02-17","6","1. All documents referring to currently active policy concerning any form of support given to employees to undertake volunteering opportunities outside of their day to day responsibilities. If these documents are not applicable to all civil servants, please indicate to which group(s) of civil servants each document applies. 2. A breakdown of what support* and benefits** are currently given to employees to undertake volunteering opportunities outside of their day to day responsibilities. If these are not applicable to all civil servants, please indicate to which group(s) of civil servants each type of support and benefits applies. *Support could be, for example, paid time off to volunteer, flexible work arrangements to volunteer, group volunteering facilitation, individual volunteer matching with community organisations, pool of volunteers for community organisations to draw from, skilled volunteer facilitation, professional development through a community service learning approach, international volunteering facilitation, information about volunteer opportunities in the community (through an Internet website, an Intranet website, information sessions, volunteer fairs, e-newsletter, volunteer-related messages to interested employees, etc.), volunteer recognition awards, articles showcasing employees' volunteering stories, etc. **Benefits could be, for example, in reference to salary, remuneration, annual leave, promotion or other forms of benefit connected to employment. 3. The name, as well as the work telephone number, e-mail address and physical address, of the civil servant(s) coordinating your department's employer-supported volunteer scheme."
"1848","2016-02-09","Procurement","Member of the Public","Not held","n/a","2016-02-11","2","I am making this request under the Freedom of Information Act 2000 to gain a scope of the commercial programs and branches of Ministries undertaken by the UK government.It is my understanding that, for example, Just Solutions International was a commercial branch of the Ministry of Justice before it was closed.I hope this request isn't too much trouble. Please call me if there is anything I can help with or clarify to make your job easier.Could I please be provided with:a - A list of all commercial branches and programs that bid on contracts to sell UK government services to corporations or nation-states and that are related to your Ministry or department, b - A list of all commercial branches and programs that were active in the past 10 years and have been closed before the present date. c - The date these were established, a short description of what they do, and their annual budget and earnings.It would be wonderful to receive this list in a .pdf, .doc Word file or other machine-readable format."
"1849","2016-02-10","Food Safety Policy / Agricultural Contaminants and Plant Toxins ","Academia","All provided","n/a","2016-02-12","2","Under the Freedom of Information Act 2000 (FOIA) and the Environmental Information Regulations 2004 (EIRs) requirement to provide the general public right of access to information held by public authorities, I hereby request a full copy of the European Food Standards Agency (EFSA) survey commissioned in 2014 regarding ?tetrahydrocannabinol in food, pyrrolizidine alkaloids in honey, tea, herbal infusions and food supplements and opium alkaloids in poppy seeds?. The final version of the report was submitted to the FSA in September 2015. The report is currently being assessed by an ?Agricultural Contaminants? Expert Committee within the European Commission Standing Committee on Plants, Animals, Food and Feed, Toxicological Safety of the Food Chain section. The report was presented to the Medicines and Healthcare products Regulatory Agency (MHRA) on 8th January 2016."
"1850","2016-02-12","Finance","Member of the Public","Part withheld","s40","2016-03-11","20","I am writing to request information under the Freedom of Information Act 2000, specifically under the dataset provisions of Sections 11, 19 and 45 of the Act.Please confirm receipt of this email.In order to assist you with this request, I am outlining my query as specifically as possible.The time frame for my request is from 00:01 1 January 2013 to 23:59 31 December 2015.In line with section 1(1) of the Act please either confirm or deny whether your department holds a database or databases of staff expense claims.By 'staff expense claims' I mean any claim made by staff for any expenditure whatsoever.If a confirmation, please disclose:? the number of databases held? the purpose of each database? a copy of each databaseFor each individual claim on each database, please provide the following fields of information (where available):? The amount of money claimed for? The date of the claim? The name of the vendor? The description of and/or reason for the claim? The name and job title of each claimant? Any other non-exempt field of information"
"1851","2016-02-15","Consumer Protection (NI)","Media","Rejected on cost grounds","s12","2016-03-14","20","I am requesting all correspondence and communications including emails and telephone conversations, between the FSA (both FSA and FSANI) and Newry and Mourne District Council in relation to the prosecution of Freeza Meats Ltd for the sale of undeclared beef hearts and mislabelled halal meat."
"1852","2016-02-15","Consumer Protection","Legal","All withheld","s31","2016-03-11","19","concerns invetigation or legal process"
"1853","2016-02-17","Operations","Member of the Public","All provided","n/a","2016-03-15","19","I am a veterinary surgeon trying to obtain up to date figures for the numbers of commercial dairy goat farms in the UK, along with the numbers of dairy goats on these units, and wondered if you can point me in the direction of someone within the FSA who might be able to help me with this query. My hope was that someone dealing in the diary hygiene aspects of the work might be able to help as I know that farms have to be registered in order to sell milk (I have contacted DEFRA already - they only have statistics for the numbers total number of goats kept on all holdings in different parts of the UK - not which are dairy units and numbers per unit)."
"1854","2016-02-17","Consumer Protection","Academia","Rejected on cost grounds","s12","2016-03-11","17","I am currently conducting research on whistleblowing by workers to regulators and enforcement bodies. The research has two strands. The first strand (question 1 below) considers your general role as a prescribed regulator in handling whistleblowing concerns. The second strand (questions 2-7) is more specific and concerns your handling of whistleblowing concerns raised by migrant workers (the aim of this particular strand is to consider vulnerable migrant workers as whistleblowers).Please provide the following information:Information regarding your duties as a prescribed regulator:(1) Please provide details of the number of workers who have contacted you in relation to your duties as a prescribed regulator between the years 2011-2016. Please include the following details:i. Whether each individual contacted you on an anonymous, confidential, or self identified basisii. a brief summary of the types of concerns raised iii. If information was passed on to another regulator or local authority enforcement team please indicate this and specify whether the concern was monitored by you following referral. iv. In respect of both ii and iii above, please identify (if appropriate) whether any subsequent action was taken.Information regarding the handling of whistleblowing concerns from vulnerable migrant workers: (2) Please identify whether you have a policy/ policies for handling whistleblowing concerns received from migrant workers. (3) If the answer to the above is yes, please disclose your policies/ internal guidelines.(4) Please identify whether you have specific procedures for handling whistleblowing concerns received from migrant workers.(5) If the answer to the above is yes, please identify what these procedures are. (6) Please identify whether you are able to receive whistleblowing concerns in languages other than English. (7) If the answer is yes, please identify how your organisation would handle concerns raised in another language. "
"1855","2016-02-19","NIFAC Secretariat ","Media","Not held","n/a","2016-03-18","20","1. How do you monitor venison that enters the food chain in Northern Ireland? (i.e. are there any systems in place to ensure that venison being sold to restaurants, etc. has come from a legitimate source?)2. How many reports of contaminated venison in Northern Ireland have you received over the past five years (broken down by year and location/post code)?3. How many reports have you received of illegally culled deer being sold to restaurants, bars or hotels over the past five years in Northern Ireland (broken down by year and location/post code)?4. Please list every time you have taken action against a poacher or business (e.g. restaurant/pub/hotel/other) for trading illegally-culled deer over the past five years (or longest time period possible) in Northern Ireland. Please include the date, against whom the action was taken, summary of the reason why action was taken, summary of action taken and summary of the outcome.5. Please provide all the correspondence you have received/sent that relates to illegally culled deer being sold to restaurants, bars or hotels in Northern Ireland over the past five years (or longest time period possible)."
"1856","2016-02-22","Facilities","What do they know","All provided","n/a","2016-03-16","17","Please send me all the comments received from employees and visitors about the standard of the food at your main office in London for the last 12 months please."
"1857","2016-02-29","Security and Estates ","Academia","Part withheld","s31, s40","2016-03-30","20","I am writing under the Freedom of Information Act 2000 to request details of breaches of the Data Protection Act within in your organisation; specifically I am asking for: 1a. Approximately how many members of staff do you have?1b. Approximately how many contractors have routine access to your information?2a. Do you have an information security incident/event reporting policy/guidance/management document(s) that includes categorisation/classification of such incidents?2b. Can you provide me with a copy of the latest version of these document(s)? (This can be an email attachment or a link to the document on your publicly facing web site)3a. Do you know how many data protection incidents your organisation has had since April 2011? (Incidents reported to the Information Commissioners Office (ICO) as a Data Protection Act (DPA) breach)Answer: Yes, No, Only since (date):3b. How many breaches occurred for each Financial Year the figures are available for?Answer FY11-12: FY12-13: FY13-14: FY14-15: 4a. Do you know how many other information security incidents your organisation has had since April 2011? (A breach resulting in the loss of organisational information other than an incident reported to the ICO, eg compromise of sensitive contracts or encryption by malware. )Answer: Yes, No, Only since (date):4b. How many incidents occurred for each Financial Year the figures are available for?Answer FY11-12: FY12-13: FY13-14: FY14-15: 5a. Do you know how many information security events/anomaly your organisation has had since April 2011? (Events where information loss did not occur but resources were assigned to investigate or recover, eg nuisance malware or locating misfiled documents.)Answer: Yes, No, Only since (date):5b. How many events occurred for each Financial Year the figures are available for?Answer FY11-12: FY12-13: FY13-14: FY14-15: 6a. Do you know how many information security near misses your organisation has had since April 2011? (Problems reported to the information security teams that indicate a possible technical, administrative or procedural issue.)Answer: Yes, No, Only since (date): 6b. How many near-misses occurred for each Financial Year the figures are available for?Answer FY11-12: FY12-13: FY13-14: FY14-15: If the specific answers to 4, 5 and 6 are not readily available, I am content for these questions to be modified/replaced with similar questions that are derived from your organisations categorisation/classification system within the documents requested in question 2. I would need to first make an FoI request for question 2 in order to frame suitable questions 4, 5 and 6, then make a second request. Similarly calendar year can replace financial year. Please state in the reply if this option has been implemented."
"1858","2016-03-01","Openness","Member of the Public","Not held","n/a","2016-03-02","1","Please provide a complete list of business addresses with telephone numbers and Director contact names and theiroccupiers with rateablevalues between ?2,000 and ?12,000 thatare NOT in receipt of small business rate relief.Please also list their propertydescription, actual liability (i.e. rates payable), whatdate they are liable from and indicate if the account is live ornot."
"1859","2016-03-02","Operations ","Business","All withheld","s30","2016-03-31","19","Please could you send me a copy of a report dated 12th february 2016 on an inspection at Weddel Swift (dist) Ltd at 1 Wholsale Meat Centre, Norway Road, Hilsea, Portsmouth PO3 5JZ - . i would like the report to contain the findings and recommendations from this visit"
"1860","2016-03-01","LAEMS","Academia","All provided","n/a","2016-03-31","20","For each of the years 2010/11, 2011/12. 2012/13, 2013/14 and 2104/15, can you provide me with a combined UK total of convictions following food hygiene and food standards prosecutions, by number of establishments which were undertaken by Local Authorities."
"1861","2016-03-04","Consumer Protection","Media","Part withheld","s41, s31","2016-04-05","20","For 2015 please state how many pieces of correspondence you received that could be described as ?whistleblowing' in relation to the mislabeling of food products?For each piece of communication please state (i) the nature of the mislabeling stated (please ensure you include the product and the retailer manufacturer), (ii) a general summary of the allegations contained in the correspondence and (iii) what follow up action was taken by your authority, accepting some information will be withheld as being exempt from disclosure under Section.41 of the Freedom of Information Act."
"1862","2016-03-07","Microbiological","","All withheld","s22","2016-03-23","13","Please can you provide me with the results of the FSA's antimicrobial resistance testing carried out as part of its 'Year 1 a UK-wide survey of campylobacter contamination on fresh chickens at retail (February 2014 to February 2015)', http://www.food.gov.uk/science/microbiology/campylobacterevidenceprogramme/retail-survey In particular, I would like the results for the testing for ciprofloxacin resistance and for erythromycin resistance, either for all campylobacter, or for campylobacter jejuni and campylobacter coli separately. My understanding is that not all of the 4,011 isolates were tested for antimicrobial resistance, but that several hundred samples were nevertheless tested. I would like the results of this testing. If preliminary results are available from Year 2 testing, I would also like these results. If results are available by different category of production (standard, free-range, organic), I would also like the results by category of production. Please provide number of isolates tested and number of resistant bacteria for each antibiotic (particularly ciprofloxacin, erythromycin), bacteria (campylobacter total or, if available, campylobacter jejuni and coli) and category of production (standard, free-range, organic)."
"1863","2016-03-09","Hygiene Ratings","Member of the Public","All provided","n/a","2016-04-05","17","I would like to know a list of uk based food outlets (restaurants, cafe's, take-aways, clubs and pubs), along with their Hygiene ratings and contact details to include email addresses.CLARIFICATIONI would like to confirm that I would like to receive a list containing the data you do hold i.e. the business name, business address (where this is held by us), rating and would also like this for the business type categories ?restaurants/caf?/canteens', ?takeaway/sandwich shop' and ?pub/bar/nightclub' only. "
"1864","2016-03-18","Local Delivery","Member of the Public","Not held","n/a","2016-03-21","1","I would like to make a request for a list of all businesses in England that have been registered to cook, store, handle and / or prepare foodon their premises as defined by the GOV.UK web page ( https://www.gov.uk/food-business-registration )."
"1865","2016-03-21","Operations","Media","Part withheld","s31, s40","2016-04-20","20","A list with descriptions of the total number of cases of animal welfare cruelty in slaughterhouses or abattoirs the FSA was made aware of over the last 5 years. Please provide a description of the cruelty, dates, companies, location and outcome."
"1866","2016-03-22","Incidents N.I.","Media","Rejected on cost grounds","s12","2016-04-06","9","A schedule of all records held by the FSA / FSA NI relating to the investigation and prosecution ofFreeza Meats Ltd, Newry (which was completed in 2015), including all written, aural, video material. This request isfor information on all material held, not release of said material."
"1867","2016-03-23","Standards & Dietary Health NI","Media","Rejected on cost grounds","s12","2016-04-14","14","1. Please provide a copy of all correspondence sent and received by the FSA to/from the Department of health in relation to the Food Information Regulations (Northern Ireland) 2014.Please include all briefing notes, diary entries, minutes and agenda entries. This should cover the period form August 2014 until the present. 2. Please provide a copy of all correspondence sent and received by the FSA to/from the Department of health in relation to 'country of origin labelling guidance'. Please include all briefing notes, diary entries, minutes and agenda entries. This should cover the period form August 2014 until the present. 3. Please provide a copy of all correspondence sent and received by the FSA to/from local government authorities in relation to 'country of origin labelling guidance'. Please include all briefing notes, diary entries, minutes and agenda entries. This should cover the period form August 2014 until the present.4. Please provide a copy of all correspondence sent and received by the FSA to/from the local government authorities in relation to the Food Information Regulations (Northern Ireland) 2014. Please include all briefing notes, diary entries, minutes and agenda entries. This should cover the period form August 2014 until the present."
"1868","2016-03-29","Finance Revenue Accounting and Debt Recovery ","Industry","All provided","n/a","2016-04-20","16","Could you explain under the above act, how you let B.Riley and Sons owe you ?46,798.20 as stated on the KPMG Creditors list. You are obviously giving some of my competitors a commercial advantage over us by prolonging their terms whether with your blessing or not. You should withdraw your services as you say you can.I would like your assurance that Pak Mecca Meats, Bishops Steet Birmingham or its subsidiary slaughtering operation, is being kept on the same terms as us and when they go bankrupt I will not be noting that they owe you several months of fees.Please provide details of how you pursued Rileys for the debt owed."
"1869","2016-03-30","Procurement","Business","All provided","n/a","2016-04-05","5","On behalf of Shropshire Council, CPRAS are designing a Payment Services Framework Agreement which will be open to you from June 2016. Our Early Market Engagement indicates that we should expect the Framework to provide average savings of well over 20%! Framework services will be available without the need for further competetive process or e-auction.Whilst we would prefer not to have to trouble you with this request, it is a requirement of the OJEU Framework Tender process that we estimate the market size. We therefore need to ask you to complete some basic information about the current costs that you incur for the services.The Framework tender is probably the largest Payment Service tender ever undertaken. We expect all the banks, and other payment service providers, to provide service offers that reflect this huge opportunity. Please help us to maximise the benefits by including as much of the requested information as possible.Important Note: We do not need precise figures. Estimates are perfectly acceptable. If any part or the information request is difficult to respond to, we would prefer for you to simply leave it blank than to have to invest significant time in providing that answer.Finally, it would be very helpful to us if your response could be made via the form which is at: https://www.cpras.co.uk/foi-response/"
"1870","2016-03-29","HR","Media","Rejected on cost grounds","s12","2016-04-25","19","1) How many civil servants in your department have applied for permission from your department to stand for council seats from January 1st 2015? 2) How many of these requests were accepted, and how many were refused? 3) What conditions were imposed on those civil servants given permission to stand? 4) How many civil servants are there within your department who are currently serving councillors? 5) Please provide a breakdown of the numbers of councillors in your department that represent each political party."
"1871","2016-04-04","Security and Estates ","Media","All withheld","s31 (3)","2016-04-28","17","I would like to know how many attempts - successful or non-successful - minor cyber attacks have been carried out on departmental computers over the past three years: 2013, 2014 and 2015.I want to know about the following types of attacks:1. DDoS (Direct Denial of Service)2. Adware 3. Phishing 4. Tampering 5. Spoofing6. Bluejacking7. Password attacksFor more information about the types of cyber I mean, follow this link:http://www.cybersecuritycrimes.com/types-of-cyber-attacks/I do not need to know need to know the details of which department it came from or the details of any particular case. I just want the total numbers. "
"1872","2016-04-05","Operations ","Media","All provided","n/a","2016-05-03","19","* Between the dates 01/04/11 and 31/03/16, the number of complaints received by the Food Standards Agency relating to abattoirs/licensed slaughter houses with addresses in the following postcode areas: B, WV, DY, WR, WS, SY, TF, ST, CV, DE, NG, LE, LN, NN.* What enforcement action, if any, was taken against how many of the above? (In the response, please include ?no enforcement action' among the categories).* How many of the complaints received related to abattoirs/licensed slaughter houses registered to provide halal meat?* What enforcement action, if any, was taken against how many of the above? (In the response, please include ?no enforcement action' among the categories)."
"1873","2016-04-06","Procurement","Media","Part withheld","s40","2016-05-05","20","* Please provide itemised receipts for the following GPC transactions:16 Dec, 2015, Bhatti Restaurant, London, ?753 Dec, 2015, Akash Tandoori, York, ?37.8515 Dec, 2015, MW Eat Ltd, London, ?67.631 Dec, 2015, Hotel Du Vin Brigh restaurant, ?20815 Dec, 2015, Mumbai Lounge, York, ?3037 Dec, 2015, Defra Fosse House, York, ?155.403 Dec, 2015, www.pret.com, ?165.654 Dec, 2015, Defra Fosse House, York, ?146.4026 Nov, 2015, Plum Spilt Milk, ?358.3125 Nov, 2015, Piccolino, York, ?1505 Nov, 2015, The Go Down, York, ?49.503 Nov, 2015, Totos, York, ?8128 Oct, 2015, Eastern City, London, ?200.* In each case, please disclose the name of the person who used the GPC;* In each case, please disclose the specific purpose of the expenditure. For example: if for hospitality please disclose the number of people who received the hospitality, who was being entertained and the purpose of the hospitality.* Please disclose the number of employees who have GPCs."
"1874","2016-04-08","Consumer Protection ","Legal","Rejected on cost grounds","s12","2016-05-03","15","concerns investigation or legal process"
